Module,Topic
,
Diffrentiation,What is Diffrentiation
,Diffrentiation of a Constant
,Power Rule
,Sum Rule
,Product Rule
,Quotient Rule
,Chain Rule
,Partial Diffrentiation
,Higher Order Derivatives
,Matrix Diffrentiation
,
Optimization Theory,Function
,Multivariate Funtions
,Parameters of a Function
,Parametric Vs Non Parameteric Models
,Maxima & Minima
,Loss Functions
,How to select a good Loss Function
,Calculating Parameters of a Loss Function
,Convex & Concave Loss Functions
,Gradient Descent
,Gradient Descent with Multiple Parameters
,Hessians
,Problems faced in Optimization
,Hessians
,Constrained Optimization Problem
